date,AAPL,AMD,AMZN,ASML,AVGO,BA,BAC,COST,CRM,CVX,GOOGL,INTC,JPM,LMT,META,MSFT,MU,NKE,NVDA,ORCL,QCOM,TSLA,TSM,WMT,XOM
2024-06-24,206.35247802734375,160.25,185.57000732421875,984.9426879882812,156.28182983398438,179.10000610351562,38.229881286621094,839.0740966796875,236.1676025390625,146.2629852294922,177.84864807128906,30.37729835510254,190.66409301757812,447.3289794921875,495.5832214355469,440.743408203125,138.0417022705078,92.58960723876953,117.91564178466797,136.9707489013672,192.46456909179688,182.5800018310547,163.60263061523438,67.63417053222656,106.80268859863281
2024-06-25,207.2744903564453,160.25,186.33999633789062,1005.9093017578125,155.16091918945312,175.10000610351562,37.61851119995117,846.3452758789062,237.958984375,145.48257446289062,182.6218719482422,30.546226501464844,189.88755798339844,444.06536865234375,507.1953125,443.9726257324219,140.13702392578125,90.28367614746094,125.88251495361328,136.26576232910156,193.73912048339844,187.35000610351562,168.27255249023438,66.18135833740234,107.10236358642578
2024-06-26,211.41859436035156,157.5399932861328,193.61000061035156,999.2841186523438,156.26121520996094,178.5,37.25550842285156,847.6611938476562,239.32711791992188,143.1781463623047,182.4730224609375,30.347488403320312,189.27398681640625,443.0407409667969,509.6984558105469,445.1639099121094,141.368408203125,89.6261978149414,126.19200897216797,135.34536743164062,189.1009521484375,196.3699951171875,167.75582885742188,67.0353775024414,107.13982391357422
2024-06-27,212.2613067626953,159.47000122070312,197.85000610351562,1010.4998168945312,155.73709106445312,182.50999450683594,37.494327545166016,841.5077514648438,248.87464904785156,143.51785278320312,183.99130249023438,30.397172927856445,190.94212341308594,443.1735534667969,516.0955200195312,445.84326171875,131.30894470214844,89.75007629394531,123.78596496582031,137.25466918945312,187.0118408203125,197.4199981689453,167.3268585205078,66.63290405273438,107.59867858886719
2024-06-28,208.81117248535156,162.2100067138672,193.25,1005.3097534179688,157.58924865722656,182.00999450683594,37.99106216430664,840.8844604492188,253.05783081054688,143.60963439941406,180.7562255859375,30.774776458740234,193.90444946289062,443.1451416015625,500.8577880859375,440.0345153808594,130.61380004882812,71.81720733642578,123.33671569824219,138.25338745117188,190.873779296875,197.8800048828125,169.4521942138672,66.46603393554688,107.80470275878906
2024-07-01,214.88853454589844,157.69000244140625,197.1999969482422,1015.886474609375,161.05113220214844,186.6999969482422,38.22032928466797,836.6107177734375,252.1818084716797,143.70147705078125,181.58982849121094,30.645597457885742,196.96266174316406,442.51898193359375,501.3147277832031,449.6632080078125,130.60391235351562,73.20840454101562,124.09547424316406,140.10394287109375,191.68833923339844,209.86000061035156,168.0093231201172,66.24028015136719,107.65486145019531
2024-07-02,218.37831115722656,164.30999755859375,200,1030.041259765625,162.6883544921875,185.4199981689453,39.099178314208984,850.1541137695312,252.162109375,143.91262817382812,183.82260131835938,30.874147415161133,200.2030792236328,441.81695556640625,506.1026306152344,452.1737060546875,131.6664276123047,72.45563507080078,122.46814727783203,140.2899932861328,191.81292724609375,231.25999450683594,171.29481506347656,66.81941986083984,106.92442321777344
2024-07-03,219.64730834960938,163.89999389648438,197.58999633789062,1053.1605224609375,169.72991943359375,184.30999755859375,39.07051467895508,853.4187622070312,256.84735107421875,143.87591552734375,184.39817810058594,31.033138275146484,200.06881713867188,442.1299743652344,506.5595703125,453.64068603515625,135.86697387695312,71.69332885742188,128.0689239501953,141.36703491210938,195.3107147216797,246.38999938964844,177.91456604003906,66.98629760742188,107.46758270263672
2024-07-05,224.39617919921875,171.89999389648438,200,1056.17822265625,167.18673706054688,184.8300018310547,38.602439880371094,876.1823120117188,259.052001953125,141.67245483398438,189.14158630371094,31.818159103393555,197.41783142089844,438.45843505859375,536.309814453125,460.3256530761719,130.683349609375,71.8743896484375,125.6229476928711,141.8076629638672,197.16981506347656,251.52000427246094,179.37696838378906,68.75322723388672,106.16590118408203
2024-07-08,225.8634796142578,178.69000244140625,199.2899932861328,1059.038818359375,171.3632049560547,185.83999633789062,38.803043365478516,871.404052734375,253.32354736328125,141.69081115722656,187.58360290527344,33.77574157714844,197.7841339111328,438.0789489746094,525.79052734375,459.0260314941406,129.89320373535156,69.60658264160156,127.989013671875,142.0034637451172,199.22056579589844,252.94000244140625,181.95077514648438,68.39984893798828,105.051513671875
2024-07-09,226.716064453125,177.10000610351562,199.33999633789062,1041.915283203125,170.13134765625,183.24000549316406,39.567256927490234,877.349609375,248.84799194335938,140.45138549804688,187.53396606445312,34.3719596862793,200.15560913085938,436.6938171386719,526.4659423828125,452.4296875,130.34043884277344,69.04438781738281,131.16384887695312,137.74424743652344,198.48268127441406,262.3299865722656,179.8936767578125,68.61580657958984,103.89031982421875
2024-07-10,230.97914123535156,183.9600067138672,199.7899932861328,1080.2313232421875,171.2483673095703,183.72999572753906,39.87294387817383,874.8367919921875,249.00572204589844,142.42529296875,189.71713256835938,34.65019226074219,200.31948852539062,437.3674011230469,531.1246948242188,459.035888671875,135.5584259033203,69.12060546875,134.68801879882812,139.10525512695312,200.0926513671875,263.260009765625,186.25997924804688,69.11642456054688,104.80803680419922
2024-07-11,225.61563110351562,181.94000244140625,195.0500030517578,1044.4024658203125,167.4458770751953,183.91000366210938,39.9398193359375,837.5208740234375,247.55657958984375,142.5446319580078,184.1500701904297,33.2888298034668,199.98207092285156,436.7697448730469,509.28131103515625,447.6645812988281,129.4359893798828,69.93054962158203,127.19036102294922,140.1754913330078,191.51585388183594,241.02999877929688,179.87417602539062,68.51763916015625,106.05352020263672
2024-07-12,228.56007385253906,181.61000061035156,194.49000549316406,1066.774658203125,166.92762756347656,182.30999755859375,39.72965621948242,833.8704833984375,250.36614990234375,142.84762573242188,183.65391540527344,34.27259063720703,197.56243896484375,439.9479064941406,495.54351806640625,446.5323486328125,132.73574829101562,69.9591293334961,129.02735900878906,142.14910888671875,193.98826599121094,248.22999572753906,182.65272521972656,67.96793365478516,106.07225036621094
2024-07-15,232.38694763183594,179.8300018310547,192.72000122070312,1045.51318359375,168.25564575195312,179.11000061035156,40.0162353515625,839.6380615234375,249.2718963623047,145.0969696044922,185.10272216796875,34.242774963378906,202.4884796142578,440.09027099609375,492.8515930175781,446.93609619140625,130.0720977783203,67.94859313964844,128.2286376953125,140.47991943359375,199.4984588623047,252.63999938964844,180.57611083984375,68.33113861083984,107.88896942138672
